规则ID,规则类别,适用范围,执行规则,信息来源,确认状态
QNXY-STYLE-011,场景母图,全部SCN,先锁空间材质实际光源暗部空气和可拍摄区；不混入人物载具与未绑定道具；母图确认后才做方向视图,阶段2规则,已锁定
QNXY-STYLE-012,多视图,9场已确认视图,只生产已确认SV0/SV1/SV2；继承母图几何开口尺度光向；SV3由阶段3返回补登,阶段1主创确认;阶段2规则,已锁定
QNXY-STYLE-013,三孔桥,QNXY-SCN-P0-008-南宋西子湾三孔石桥渡口与追船岸,固定南宋风三孔石桥；桥下互赠区登船点追船岸尽头和远船共享连续空间；旧单孔桥禁用,项目锁定,已锁定
QNXY-STYLE-014,祈福树固定机位,QNXY-SCN-P0-009-湖边祈福树固定机位湖岸,摄影机祈福树湖岸和远山固定；人物位置姿态按春站夏坐秋系绸冬站暮年变化,项目锁定,已锁定
QNXY-STYLE-015,冷珠,QNXY-PRP-P0-001-冷珠,淡青冷绿近球形古玉约18毫米主珠深灰细编项绳珠侧对称结后颈双滑结无金属；林如蔚颈戴；主珠位于上胸正中,主创修正;2026-07-15最新更正覆盖旧左腕口径,已锁定
QNXY-STYLE-016,暖珠,QNXY-PRP-P0-002-暖珠,蜜桃暖金近球形古玉约18毫米主珠棕褐细编绳双滑结无金属；苏珏左手腕佩戴；仅在左腕真实露出时显示；被袖口束袖或护腕遮挡时自然隐藏；不得穿透衣料移到袖外胸前或右腕,阶段1旧甲胄硬点口径;2026-07-16主创覆盖修正,已锁定
QNXY-STYLE-017,双珠微光,QNXY-VFX-P0-002-冷暖双珠凝结与克制珠光,玉石内部或湿润表面低亮微光；不成为场景主光；禁止玻璃冰裂能量球和法宝爆光,项目锁定,已锁定
QNXY-STYLE-018,九龙,QNXY-CRE-P0-001-九龙神龙群,正好九条原创写实中国神龙在天空飞舞盘旋；不在水里；长躯鳞片与关节可信；可被山体和山雾自然遮挡；不西方翼龙不游戏Boss不荧光眼不法阵,项目锁定;大足官方资料;2026-07-15主创修正,设计口径已锁定；新方向图待测
QNXY-STYLE-019,红绸文字,QNXY-PRP-P0-007-祈愿红绸|QNXY-SYM-P0-002-祈愿红绸题字,正文逐字不变不落款；先做无字红绸和独立文字层再贴合形变旧化；禁止AI乱码,项目锁定;阶段1主创确认,已锁定
QNXY-STYLE-020,声音视觉呼应,SND与VFX/场景关系,环境声和声音母题必须对应山风湖水玉石木桨麻绳甲片红绸雪等可见物理来源；不转为抽象发光粒子,阶段1明确;风格推导,待主创确认
QNXY-STYLE-021,Prompt边界,阶段2A测试资产,每条Prompt绑定单一稳定ID或同一资产一组视图；静态资产测试不写镜头运动剪辑时长音轨或Seedance2.0镜头语言,阶段2规则,已锁定
QNXY-STYLE-022,阶段边界,全部当前工作,阶段2A已于2026-07-16按主创测试豁免关闭并进入2B；阶段2B只制作分类视觉声音资产Prompt状态变体Prompt与关系约束；不得制作正式分镜正式镜头表或Seedance2.0镜头Prompt,总控规则;2026-07-16主创授权,已锁定
QNXY-STYLE-023,林如蔚多视图服饰覆写,QNXY-CHR-P0-002-林如蔚,TST-006及其后续基础资产删除藤编竹篓采集篮和斜挎肩带；其他未明确排除的发型花饰葫芦铃铛鞋履继续继承；服装配色锁定雾蓝灰外衫暖米杏内层月白长裙茶褐灰蓝编织腰带,2026-07-16主创明确修正,已锁定
QNXY-STYLE-024,苏珏多服饰覆写,QNXY-CHR-P0-001-苏珏,185厘米严格九头身；四套造型无挎包斜挎肩带布包行囊腰挂物或替代容器；四种不同南宋束发；色系依次错开为冷浅青米灰暖土茶褐苔绿月白象牙白云灰深蓝灰轻甲；第二套严格继承REF-008服装结构穿着层次与冠顶宽布带高位半束长马尾并删除布袋袋绳红珠坠且不继承参考人物脸；第三套文字制作白色层叠礼战袍含短立领宽幅交叠衣襟压纹肩袖多层条带束袖遮脚背长摆且不调用新增服装图；白色不过曝不婚服丧服仙袍化；不得纯黑；不新增武器,2026-07-16主创追加修正,已锁定
QNXY-STYLE-025,龙水湖土路与湖景覆写,QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸,完全重做且生成时不得上传引用或继承旧母图；只使用湖景图参考湖盆岛群中央水道远山天空云层漏光；删除湖景图三孔桥并恢复连续自然湖面；前景新建暖灰褐自然夯实土路与水线天然青石基岩石台散石；不得连续铺路；画面柔焦边缘克制细节并避免细碎纹理堆砌；不得出现桥梁建筑码头人物船只或九龙,2026-07-16主创明确修正,已锁定；V1.3候选待生成
QNXY-STYLE-026,顶级宋朝审美总核,全部视觉资产,统一采用清雅简远润真六字审美核；精确写实加诗性删减；实处结构材质准确而虚处以水雾天空暗部留出余韵；禁止把宋韵等同于全灰极简或古风装饰堆砌,2026-07-17主创要求;docs/23研究转译,已锁定
QNXY-STYLE-027,宋式场景母图,全部SCN及方向视图,每张母图一个主视觉锚点；优先非对称与边角组织；近中远三层；水雾天空暗部形成30%至60%安静空间；细节由叙事锚点向外逐级简化；具体区间读取data/11矩阵,docs/23;data/11,已锁定
QNXY-STYLE-028,宋式建筑与材料,全部南宋建筑场景,先保证柱梁枋斗栱屋架门窗和屋面的受力模数关系；民居廊亭以旧木灰瓦土墙石基夯土为主；高等级建筑可局部青绿朱白黑彩画但不满铺金；禁止明清宫殿化和构件纹样堆砌,docs/23;营造法式及官方建筑资料,已锁定
QNXY-STYLE-029,宋式人物服装造型,全部CST,高级感来自修长轮廓裁剪层次垂坠和真实织物；纹样采用低对比暗纹窄缘饰或一至两个小型自然纹样；发型按身份场合真实束扎；禁止大面积金绣密集团花仙侠流苏巨大高冠和配饰堆叠,docs/23;中国丝绸博物馆南宋服饰资料,已锁定
QNXY-STYLE-030,宋式色彩与影调,全部视觉资产,基础色群为天青粉青月白香灰米杏茶褐苔绿墨青旧木褐；朱砂暗绛青绿只作小面积强调；高光不爆白暗部不死黑；以温润材质和冷暖明度层级取胜而非统一灰滤镜,docs/23;宋瓷及宋代建筑彩画资料,已锁定
QNXY-STYLE-031,南宋巴蜀地域分级,全部视觉资产,宋画提供空间与取舍方法而巴蜀湖山湿雾山城地貌土石木构和地方生活提供内容；宫廷士人乡野军旅按建筑衣料色彩装饰分级；不得把临安宫廷江南园林或博物馆器物直接移植到龙水湖,docs/23;项目地域锁定,已锁定
QNXY-STYLE-032,龙水湖地形地貌参考,QNXY-SCN-P0-001-巴岳山麓龙水湖神话山湖|QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-SCN-P0-007-南宋临水古廊亭|QNXY-SCN-P0-008-南宋西子湾三孔石桥渡口与追船岸|QNXY-SCN-P0-009-湖边祈福树固定机位湖岸,场景生成须读取QNXY-REF-016至018并综合继承密林半岛纵深水道开阔湖盆岛群密度分汊水网曲折岸线水道宽度和层叠山脊；只继承自然地形地貌；游船白鹭现代建筑村镇道路农田鱼塘电力设施现有调色和现代旅游状态不得继承,2026-07-17用户明确要求;data/04,已锁定
QNXY-STYLE-033,青绿影调英雄剧照母图,全部SCN的V-MASTER,九场MASTER统一作为青绿影调英雄剧照而非勘景说明图；允许45至85毫米中焦或中长焦压缩前景遮挡结构裁切选择性曝光和画外空间；每条Prompt明确左侧右侧上方下方内容比例主亮区与视线终点；阴影使用墨青黛绿深苔绿蓝黑中间调使用石青天青粉青灰绿旧木褐高光使用月白银青珍珠白并允许5%至12%克制暖色节点；SCN-009满树红绸为叙事主色特例且不作为发光暖色；方向视图负责完整空间验证；禁止中性阴天平均曝光HDR抬暗部建筑完整陈列中央透视旅游照和勘景照,2026-07-17主创最新锁定;docs/23覆盖;docs/24 V1.4,已锁定
QNXY-STYLE-034,场景母图非人物叙事元素完整配置,全部SCN的V-MASTER及方向视图,场景只排除人物人物剪影人物占位和群演；对应场次已登记的九龙双珠水汽白鹭小舟书卷竹篮军旗烽烟征募文书布包木箱灯笼渡船缆绳祈福红绸荷叶薄雪等非人物元素必须进入MASTER并共享同一青绿光场；固定元素位置和状态随方向视图继承动态动物神兽保持数量远近层级和活动区域；SCN-007正好5只白鹭按低飞2中景2高飞1配置；SCN-009读取REF-024并要求主枝次级横枝下垂细枝挂满数十至上百条祈福红绸形成上密下疏近大远小的三层簇群；主叙事红绸固定枝位结点正文与四季旧化且其他红绸只显示不可辨墨痕；禁止把无人误解为无动物无船无道具或把满树红绸做成稀疏单条现代景区塑料带整齐排队随机可读文字,2026-07-17主创最新覆盖;REF-024;docs/24 V1.4,已锁定
