生产资产ID,资产类型,资产名称,资产级别,剧本出处,关联场次或段落,基础描述,补全设计信息,状态变体,材质结构或声音特点,光影或环境要求,使用或生成需求,可复用范围,信息来源,确认状态,阶段2处理建议
QNXY-SCN-P1-004-南宋山城防线远景,SCN,南宋山城防线远景,P1,V4标黄P012、P050-P053,AI-01;AI-03,中远景青灰石防线、1座木关门、4面军旗、2缕烽烟与4层低缓远山,REF-032与033锁定青蓝雾山影调；docs/29 V2.0锁定80mm机位、近景1条低坡、近景0座高山与城墙空间坐标,防线承压烽烟状态,青灰石城墙、夯土填芯、旧木门楼、军旗与暗赭烽烟,近景14%|中景38%|远山28%|天空云雾20%|暗赭烽烟4%,使用docs/29 V2.0确定性MASTER Prompt,AI-01;AI-03,剧本明确;项目锁定;用户2026-07-19参考图1至2与确定性Prompt指令,确定性Prompt已编写待主创确认,稳定资产ID与SV0视图ID保留；docs/24旧Prompt停用；以docs/29 V2.0为当前候选
QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸,SCN,南宋龙水湖湖面与青石岸及湖边小院,P0,V4标黄P030-P037,AI-02,院内整理药草、远湖小舟仍在湖中时林如蔚听见桨声水声起身去院门并始终留在门内侧、不下至岸边、隔湖挥手、小舟靠岸、苏珏独立下船并沿石路回到院门、院门相会、递蓝色布包与衣袖擦汗；苏珏全程站在船头；白鹭栖息地只承担湖面意境建立，可与小院动作跳切；小舟停靠位置固定为REF-056湖边小院湖边场景,REF-051至052为独立湖面意境与白鹭生态输入；REF-053至057为既有小院候选视图；REF-059至062增加药草桌背向全景、栅栏门口望湖、门口回望院内正视和药草桌中景；REF-058锁定小舟与1名船尾船工组合；全部继续映射既有SCN-005视图ID，不新增视图主键,单一清晨归家状态；女主起身和挥手发生在小舟仍处远湖阶段，之后始终留在院门内侧；靠岸、下船与男主回院门镜头不强行加入女主；白鹭意境镜头与小院动作镜头允许跳切；新增四视角进一步固定主屋、大树、药桌、栅栏门和湖面出口关系,湖水、岛群、白鹭栖息树冠、湖边小院、药草桌、院门、临水台阶、归家小路、旧木小舟与船工,跳切前后保持同一低角度清晨太阳世界方位、薄雾、细碎暖光、由湖面吹向小院的轻微湖风和湖面环境声连续；REF-059与062用于整理药草，REF-060用于院门望湖，REF-061用于门口回望院内；停靠点仍按REF-056；小舟与人物动作均用逐镜Prompt控制；不新增场景或视图ID,AI-02,剧本明确;用户2026-07-26至27最新内容、REF-058至062、全Prompt动作控制与2026-07-27唯一院门等待调度,阶段3多视角实际输入已登记；停靠点、动作方向和唯一人物调度已锁定,小院动作多视角已增加；仍须在逐镜生成中保持桌树门湖空间连续
QNXY-SCN-P1-006-南宋战乱街巷,SCN,南宋战乱街巷,P1,V4标黄P050-P054,AI-03,逃难百姓、义士号召、征募文书上墙的南宋街巷,锁定街巷纵深、布告墙、人群通行区和通往廊道的叙事出口；不出现现代街招,尘土扬起与拥挤逃难状态,粗粝墙面、土石路、木构门面,阴天冷光和尘土灰,场景母图＋布告墙方向视图,AI-03,剧本明确;合理推断;历史参考候选,建议采用,用户已确认SV1及稳定视图ID
QNXY-SCN-P0-007-南宋临水古廊亭,SCN,南宋临水古廊亭,P0,V4标黄P050、P054-P061,AI-03,左下廊亭端部、3根立柱、8米栏杆、1盏旧布灯笼、5只白鹭、1艘远舟、58%湖面与4层暮山,REF-026锁定青蓝墨青雾层与冷青湖光；docs/29 V2.0锁定70mm斜对岸机位和白鹭2只低飞2只中景1只高飞,雨后傍晚基础状态,旧木廊柱、栏杆、灰瓦、香灰石基、旧布灯笼,廊亭18%|树影12%|湖面58%|远山天空12%|灯笼暖光1.5%,使用docs/29 V2.0确定性MASTER Prompt；标准五视图Prompt在MASTER确认后重写,AI-03;AI-05秋服来源,剧本明确;项目锁定;用户2026-07-19参考图6与确定性Prompt指令,确定性Prompt已编写待主创确认,稳定资产ID与SV2视图ID保留；docs/24旧Prompt停用；以docs/29 V2.0为当前候选
QNXY-SCN-P0-008-南宋西子湾三孔石桥渡口与追船岸,SCN,南宋西子湾三孔石桥渡口与追船岸,P0,V4标黄P079-P088,AI-04,1座36米南宋三孔石桥横跨河面连接两岸；1艘7.8米渡船、1根6米粗麻缆绳、1条1.8米追船路径组成连续空间,REF-037锁定黄昏暖橙逆光；REF-038锁定桥横跨河面连接两岸；docs/29 V2.0锁定58mm追船岸机位与3个拱孔尺寸,黄昏基础状态,风化青灰砂岩、素面石栏、夯土桥面、粗麻缆绳、旧木渡船,桥宽度78%|河面46%|暖橙反射占河面18%|远山3层,使用docs/29 V2.0确定性MASTER Prompt；标准五视图Prompt在MASTER确认后重写,AI-04,剧本明确;项目锁定;用户2026-07-19参考图7至8与确定性Prompt指令,确定性Prompt已编写待主创确认,稳定资产ID与SV2视图ID保留；docs/24旧Prompt停用；以docs/29 V2.0为当前候选
QNXY-SCN-P0-009-湖边祈福树固定机位湖岸,SCN,湖边祈福树固定机位湖岸,P0,V4标黄P096-P104,AI-05,固定65mm机位中的1名女子、裁切祈福树、42%湖面、20%远山与固定主叙事红绸,REF-039提供偏侧树体远山层次；REF-024提供红绸材质；docs/29 V2.0锁定树38%湖42%山20%及春夏秋冬暮年5个状态,春22岁48条红绸18簇山花3只白鹭→夏28岁51条红绸1艘船→秋36岁55条红绸7只候鸟→冬44岁57条红绸7厘米积雪→暮年68岁72条红绸1根手杖,树皮、天然纤维红绸、岸草、碎石、湖水、远山、山花、雨雾、积雪,春06:20春雨嫩绿湖雾|夏10:30雨后深绿通透|秋17:40满山金黄|冬14:20下雪月白石青|暮年初秋06:10雨后银青,使用docs/29 V2.0五条确定性年轮Prompt；按春夏秋冬暮年顺序生成回流,AI-05,剧本明确;项目锁定;用户2026-07-19四季构图重设春季山花补充与确定性Prompt指令,确定性Prompt已编写待主创确认,稳定资产ID与SV0视图ID保留；docs/24旧Prompt停用；以docs/29 V2.0为当前候选
QNXY-LGT-P0-001-神话山湖晨光,LGT,神话山湖晨光,P0,V4标黄P009-P011,AI-01,巴岳山与龙水湖白日晨光；云层低垂；湖面水汽上升,主光由云层切入；山体背阴偏冷；湖面局部暖反光,平静晨光与冷暖水光汇聚,自然天光、水面反光与云层切光,人物或生物只受环境光影响,场景母图光影变体,SCN-001,剧本明确;项目锁定,已锁定,阶段2纳入神话山湖母图
QNXY-LGT-P1-002-神话山湖乱世压暗光影,LGT,神话山湖乱世压暗光影,P1,V4标黄P012-P015,AI-01,山河忽然转暗；江雾翻涌；烽烟与军旗压低；湖面起皱,主光被云层吞没；冷灰环境光与暗红烽烟点,由晨光过渡到阴暗风云,湿雾、暗云和湖面低亮反光,青年扣甲与女子远望仍可辨轮廓,SCN-001光影变体,SCN-001;SCN-004,剧本明确;项目锁定,已锁定,阶段2与VFX-004联动制作
QNXY-LGT-P2-003-殿宇冷暖水光,LGT,殿宇冷暖水光,P2,V4标黄P011,AI-01,冷蓝与金红两道水光只勾亮王后袖缘和帷幔,不照出正脸；暗色石阶保持不可辨,单一意象光影,低亮度水光反射,冷暖水光仅作用于帷幔与袖缘,服务侧影组合资产,SCN-002,剧本明确,已锁定,随侧影轻量制作
QNXY-LGT-P1-004-九龙水法冷暖水纹光,LGT,九龙水法冷暖水纹光,P1,V4标黄P011,AI-01,石壁冷阴影与暖水光分区；冷暖水纹在石面交汇,主光不做法宝爆光；亮度仅随水痕和水珠,湿润石壁光影状态,粗石面低反射与水珠高光,冷阴影与暖水纹低亮交汇,服务岩壁母图和纹理可读性,SCN-003,剧本明确;项目锁定,已锁定,阶段2与VFX-002、SYM-001联测
QNXY-LGT-P1-005-山城江雾烽烟光影,LGT,山城江雾烽烟光影,P1,V4标黄P012、P050-P053,AI-01;AI-03,江雾遮蔽的冷灰日光与山脊后暗红烽烟,远景城墙和军旗需可辨但无戏剧爆光,雾色防线承压状态,湿雾散射、烟尘吸光,冷灰雾光与暗红烟边,服务防线远景,SCN-004,剧本明确;项目锁定,已锁定,阶段2与VFX-004联动
QNXY-LGT-P0-006-龙水湖清晨薄雾金光,LGT,龙水湖清晨薄雾金光,P0,V4标黄P030-P037,AI-02,清晨薄雾未散；湖面与院落铺细碎暖调阳光；山岛层叠；人物与小院处于同一太阳方向,REF-051至057与REF-059至062为本段实际光雾输入；侧前或侧后自然光；人物脸部以湖面反光和院内漫反射柔托而非顺光,单一清晨状态；白鹭栖息地、远湖、院内、院门、岸边和归家路径不得跨时段跳光,湿润空气、湖面碎反光、薄雾、树叶斑驳光,清晨侧光与湖面反光；雾层不可淹没人物五官和下船脚步,逐镜统一十一张场景输入的太阳方位、雾层厚度、暖光区域和对比度,SCN-005,剧本明确;项目锁定;用户2026-07-26至27实际图指定,已锁定；多视角实际输入已登记,新增四图暖光方向较接近但仍须逐镜复核人物受光与跳光
QNXY-LGT-P1-007-战乱街巷阴天尘光,LGT,战乱街巷阴天尘光,P1,V4标黄P050-P054,AI-03,阴天冷光；脚步扬尘使远景发灰,人物和文书保持可见；不使用战争爆炸光,尘土动态状态,冷灰漫射与局部墙面侧光,阴天冷光和尘土散射,服务群演与文书融合,SCN-006,剧本明确;合理推断,建议采用,阶段2纳入街巷母图
