"登记ID","参考素材ID","实际文件名","实际文件路径","资产类别","映射生产资产ID","所属生产包","关联AI段落","映射场景视图ID或用途","文件版本","尺寸或音频规格","字节数","SHA256","主创指定状态","连续性备注"
"QNXY-S3-AI02-REG-011","QNXY-REF-057","湖边小院正外全.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\湖边小院正外全.png","湖面看向小院正外全景","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-LGT-P0-006-龙水湖清晨薄雾金光","QNXY-PKG-07","AI-02","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸-V-LAKE-TO-SHORE","V1.0","2730x1536","8415409","B3AFF9DD4FFC05B78576BF7488FC236C083B2A41068B097DD3D919B7E46BF131","已登记（主创指定为本段小院输入）","适合男主从湖面看向家与靠岸后的归家方向；正面台阶、院门与其他四图尚需统一为同一空间"
"QNXY-S3-AI02-REG-012","QNXY-REF-058","带船工.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\道具\带船工.png","小舟与船工组合锁定图","QNXY-VEH-P0-001-南宋湖面小舟|QNXY-CRO-P1-003-渡口船工单人配置","QNXY-PKG-07","AI-02","苏珏站在船头持蓝色布包的小舟与船尾船工基础组合；停靠位置固定REF-056／V-SHORE-TO-LAKE","V1.0","1672x941","2033033","9E04CDAECFD34A64D671228C028BF518B468AC2A9A8B2A18C950BB71C07E5F7C","已登记（主创指定为本段小舟与船工）","已看到旧木狭长船体、中央木篷、船舱空间、船首缆绳、长木桨及1名年长船工在船尾操桨；苏珏不得坐在船舱内，须由逐镜Prompt生成船头站立持包和隔湖挥手；实际航向、停靠侧、接近停稳和下船也由Prompt按REF-056锁定，不要求预制关键帧"
"QNXY-S3-AI02-REG-013","QNXY-REF-059","草药桌子小院背视图.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\草药桌子小院背视图.png","小院多视角／草药桌背向全景","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-PRP-P1-004-竹篮药草与折衣组合|QNXY-LGT-P0-006-龙水湖清晨薄雾金光","QNXY-PKG-07","AI-02","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸-V-EXIT-COURTYARD补充动作角度；不新增视图ID","V1.0","1672x941","2787001","B6FED54F501B6017643262677BD33122A2562175CC4BF0D7D88C853528820FA7","已登记（主创指定为小院多视角）","已看到前景栅栏、左侧主屋、中央大树和药草桌、右侧湖面出口；用于整理药草及从桌到院门动作，后续镜头不得漂移主屋、树、桌、门和湖的相对方向"
"QNXY-S3-AI02-REG-014","QNXY-REF-060","草药桌子小院栅栏门口.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\草药桌子小院栅栏门口.png","小院多视角／栅栏门口望湖","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-LGT-P0-006-龙水湖清晨薄雾金光","QNXY-PKG-07","AI-02","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸-V-SHORE-TO-LAKE院门近景补充角度；不新增视图ID","V1.0","1672x941","2555015","842802EC0009A03AD8A041165B7D9BBECA8BEA9C780B4769F66144590680BD5C","已登记（主创指定为小院多视角）","已看到敞开栅栏门、临水石路、湖面岛群和远山；用于女主到门、看向湖中小舟和隔湖挥手；门口方向须与REF-056一致"
"QNXY-S3-AI02-REG-015","QNXY-REF-061","草药桌子小院正视图.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\草药桌子小院正视图.png","小院多视角／门口回望院内正视","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-PRP-P1-004-竹篮药草与折衣组合|QNXY-LGT-P0-006-龙水湖清晨薄雾金光","QNXY-PKG-07","AI-02","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸-V-LAKE-TO-SHORE近岸回望补充角度；不新增视图ID","V1.0","1672x941","3034153","24EF6E3C2A81C5E002615F4477B05204E184F7B23B6B10A0BB4EE5C63972FEEB","已登记（主创指定为小院多视角）","已看到栅栏门两侧立柱、院内主屋、药草桌、大树和空地；用于从门口回望药桌及后续归院方向；不得改变桌、树和主屋位置"
"QNXY-S3-AI02-REG-016","QNXY-REF-062","草药桌子小院中景.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\草药桌子小院中景.png","小院多视角／草药整理中景","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-PRP-P1-004-竹篮药草与折衣组合|QNXY-LGT-P0-006-龙水湖清晨薄雾金光","QNXY-PKG-07","AI-02","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸-V-EXIT-COURTYARD药草整理中景；不新增视图ID","V1.0","1672x941","2651709","184BB564533CFA14706B789D58B3471EB3820D28DEF64FBC1F68B9C3C7FE0FE1","已登记（主创指定为小院多视角）","已看到木桌、木凳、竹篮竹匾和多束晒干药草；用于女主整理、听见远湖桨声、停手和起身；手部、药草束数量与离桌方向由逐镜Prompt保持连续"
"QNXY-S3-AI02-REG-017","QNXY-REF-063","ChatGPT Image 2026年7月26日 23_34_51.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\ChatGPT Image 2026年7月26日 23_34_51.png","独立道具锁定图／蓝色包袱","QNXY-PRP-P2-008-苏珏随身行囊","QNXY-PKG-07","AI-02","苏珏船头持包、下船持包、院门递出和林如蔚接稳的同一蓝色包袱造型锚点","V1.0","1672x941","2115782","F46A2903E6ADB4592AF71A0FD8D178E00CEEE5DA835638613A1242A374CC41EA","已登记（主创指定为独立蓝色包袱道具）","已看到深蓝灰粗布、圆鼓包体、收口褶皱、中央布结和竖向提环；中性背景无效；不得变成皮包、现代拉链包或硬箱；递接动作仍由逐镜Prompt控制"
"QNXY-S3-AI02-REG-018","QNXY-REF-073","ChatGPT Image 2026年7月29日 14_23_00.png","D:\Ai影视制作\2026项目\002-2026项目\013-千年寻缘\图片\人物\ChatGPT Image 2026年7月29日 14_23_00.png","人物锁定图／男主无包袱无卷轴小院生活状态","QNXY-CHR-P0-001-苏珏|QNXY-CST-P0-001-苏珏湖岸常服A","QNXY-PKG-07","AI-02","新版G04至G06小院田园生活片段的苏珏身份、发型、服装与空手基础锚点","V1.0","1672x941","2165733","1EC139ACB6B8490DA8F921D9D66DECD2A04144B63FEAEB335D38FF1898700812","已登记（主创指定为无包袱无卷轴苏珏图）","画面含近景及正侧背全身；只承担人物、发型、服装和身形锁定，不继承中性展示背景；不从旧归家图自动带入蓝色包袱、卷轴或其他手持物；书卷、果盘、摇椅与猫按具体镜头或独立资产另行调用；最终核查按当前实际文件名登记"
"QNXY-S3-AI02-REG-019","QNXY-REF-074","橘猫.png","D:\Ai影视制作\2026项目\002-2026项目\013-千年寻缘\图片\人物\橘猫.png","独立动物锁定图／橘白中华田园猫","QNXY-ANM-P2-002-橘白中华田园猫","QNXY-PKG-07","AI-02","新版G06小院生活片段中的同一只橘白猫；人物抱持关系与动物微动作由镜头Prompt生成","V1.0","1672x941","2263611","9CC7D762AD07127B7E32575E5A9A77AB5B4B05E427D61500674647823DF4DED9","已登记（主创指定为独立橘猫资产）","面部近景、正面站立、侧面站立、背面坐姿和蜷卧视图均为同一只猫；中性背景无效；毛色分区、琥珀色眼睛和尾巴环纹必须保持；不制作林如蔚＋摇椅＋猫合成资产"
"QNXY-S3-AI02-REG-020","QNXY-REF-075","竹椅.png","D:\Ai影视制作\2026项目\002-2026项目\013-千年寻缘\图片\道具\竹椅.png","独立道具锁定图／小院藤编木摇椅","QNXY-PRP-P2-011-小院藤编木摇椅","QNXY-PKG-07","AI-02","新版G06小院生活片段中的同一把摇椅；人物落座、抱猫和椅身微幅摇动由镜头Prompt生成","V1.0","1672x941","2217951","9AAF61AC0AC0693ACB234A363D2029117F151EF95C105617904614A488B73061","已登记（主创指定为独立摇椅资产）","三分之四、正面、侧面、背面和榫接细节均为同一把椅子；中性背景与分区白线无效；实际造型为旧木框架、藤编靠背与座面、扶手和弧形摇轨；不制作林如蔚＋摇椅＋猫合成资产"
"QNXY-S3-AI02-REG-021","QNXY-REF-085","反打湖边4k.png","D:\Ai影视制作\2026项目\002-2026项目\013-千年寻缘\图片\场景\反打湖边4k.png","场景锁定图／湖面反打小院与临水石阶4K视图","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-LGT-P0-006-龙水湖清晨薄雾金光","QNXY-PKG-07","AI-02","沿用V-LAKE-TO-SHORE湖面反打方向；正式Prompt使用名：湖岸反打视图；用于G02湖岸等待与认出归人","V1.0","4096x2313","5325473","4BE664BE96D80477F76B59225D986D951CB2B2812DC704CAA978558492F474F4","已登记（主创指定为AI-02湖岸反打4K场景）","保持湖水、中央石阶、两侧花坡、开放栅栏门、主屋、大树、村舍和远山的空间关系；本视图不承担院内木桌生活、摇椅抱猫或双人近景"
"QNXY-S3-AI02-REG-022","QNXY-REF-086","湖边小院俯瞰01大压缩4K.png","D:\Ai影视制作\2026项目\002-2026项目\013-千年寻缘\图片\场景\湖边小院俯瞰01大压缩4K.png","场景锁定图／龙水湖与湖边小院斜俯瞰4K视图","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-LGT-P0-006-龙水湖清晨薄雾金光","QNXY-PKG-07","AI-02","沿用V-MASTER空间总览功能；正式Prompt使用名：湖边小院俯瞰视图；用于G01氛围建立和G04田园生活段转场","V1.0","4096x2313","4291119","A8DF14518B052394A82F8FE16414D2B871A09E6CF3E71E9BF5B5DE968AF5E5C1","已登记（主创指定为AI-02小院俯瞰4K场景）","只承担湖泊、岛群、村落、小院与生活气息的远景关系；人物保持小比例，不用于面部、手部和生活道具接触细节"
"QNXY-S3-AI02-REG-023","QNXY-REF-087","草药桌子小院正视图01.png","D:\Ai影视制作\2026项目\002-2026项目\013-千年寻缘\图片\场景\草药桌子小院正视图01.png","场景锁定图／湖边小院正面生活空间8K视图","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-LGT-P0-006-龙水湖清晨薄雾金光","QNXY-PKG-07","AI-02","沿用SCN-005院内生活空间；正式Prompt使用名：小院正面视图；用于G04至G06院内生活、树下活动和摇椅抱猫镜头","V1.0","8192x4626","36761038","E2A5ED43D17F280CC4E8CDE50EA10D73C66FDA26B5633C24A32792C6B16D2785","已登记（主创指定为AI-02小院正面8K场景）","保持左侧湖山、右侧主屋、中央偏右大树、中景生活木桌、院地和花圃关系；文件名中的草药桌子不代表所有调用镜头都继承药草，具体桌面物件由逐镜Prompt按所见即所得控制"
