"镜头编号","生成单元","对应剧本内容","时长秒","场景或视图","画面设计","人物站位表演与原台词","调用资产","同期声","结尾状态或剪辑衔接"
"AI03-SH11","镜头组G06","林如蔚温暖看向苏珏；苏珏进入廊亭后短暂回应笑意并停在三步外","4.0","QNXY-SCN-P0-007-V-LEFT","双人侧向中全景；50mm；从暗色廊柱边缘向右短距离横移显露两人，跳开G05尾镜的林如蔚单人中景","林如蔚在右侧保持温暖笑意；苏珏从左侧入口走入两步，短暂回应轻笑后放慢并停下。征募文书始终垂在苏珏右腿外侧","QNXY-CHR-P0-001/002；QNXY-CST-P0-003/004；QNXY-PRP-P0-005；QNXY-SCN-P0-007；QNXY-REF-064/068/069/071","两步脚步、衣摆、纸张小幅摆动、湖风、树叶与四盏灯笼轻响","苏珏停在三步外，回应笑意尚未完全消失"
"AI03-SH12","镜头组G06","苏珏想到将要说出的从军决定，笑意消失并迟疑停顿","4.0","QNXY-SCN-P0-007-V-LEFT人物中景","苏珏单人中景；65mm；右前侧缓慢环绕十五度。文书保持在右腿外侧","苏珏短暂低眼，笑意逐渐消失，呼吸变深，嘴唇张开后又停住；右手没有抬起文书","QNXY-CHR-P0-001；QNXY-CST-P0-003；QNXY-PRP-P0-005；QNXY-SCN-P0-007；QNXY-REF-064/068/071","克制呼吸、纸张轻摆、湖风、树叶与四盏灯笼轻响","苏珏重新抬眼看向林如蔚，嘴唇微张"
"AI03-SH13","镜头组G06","苏珏低声说出未完成的从军告白","7.0","QNXY-SCN-P0-007-V-LEFT人物中近景","苏珏单人中近景；85mm；从林如蔚右肩后缓慢推近，林如蔚右肩处于虚焦前景","苏珏准确说出：如今外敌入侵，人间疾苦，我……。说到“我”后停住，喉结轻滚，眼尾泛红；右手与文书始终垂在右腿外侧，只由手指收紧形成一道浅折痕","QNXY-CHR-P0-001；QNXY-CST-P0-003；QNXY-PRP-P0-005；QNXY-VOI-P0-009；QNXY-SCN-P0-007；QNXY-REF-064/068/071","苏珏准确画内对白、克制呼吸、纸张轻微受力、湖风、树叶与四盏灯笼轻响","苏珏没有补完后半句，目光停在林如蔚脸上"
"AI03-SH14","镜头组G07","林如蔚边说话边走近苏珏","5.0","QNXY-SCN-P0-007-V-FRONT","双人中全景；45mm；廊亭正面沿栏杆方向缓慢横移。苏珏左、林如蔚右","林如蔚准确说出：我都懂。家国危难，你不必为难。说话时连续走近三个缓慢小步；苏珏站在原处，征募文书垂在右腿外侧","QNXY-CHR-P0-001/002；QNXY-CST-P0-003/004；QNXY-PRP-P0-005；QNXY-VOI-P0-010；QNXY-SCN-P0-007；QNXY-REF-064/068/069/070","林如蔚画内对白、衣摆脚步、湖风、远水、树叶与四盏灯笼轻响","林如蔚停在苏珏面前近处，右手仍自然垂下"
"AI03-SH15","镜头组G07","林如蔚继续对白并抬手抓住苏珏左侧衣袖","3.0","QNXY-SCN-P0-007-V-LEFT动作近景","林如蔚右手与苏珏左侧衣袖动作近景；70mm；沿两人手臂方向短距离横移","林如蔚继续准确说出：你只管奔赴前路，缓慢抬起右手抓住苏珏左侧前臂下方衣袖；苏珏右手与征募文书仍垂在右腿外侧","QNXY-CHR-P0-001/002；QNXY-CST-P0-003/004；QNXY-PRP-P0-005；QNXY-VOI-P0-010；QNXY-SCN-P0-007；QNXY-REF-064/068/069/071","林如蔚画内对白、衣袖摩擦、呼吸、湖风与灯笼轻响","林如蔚右手稳定抓住苏珏左侧衣袖"
"AI03-SH16","镜头组G07","林如蔚说完等他归来，抓袖动作显出依恋与不舍","5.0","QNXY-SCN-P0-007-V-LEFT双人侧向","双人侧向中近景；75mm；两人侧前方缓慢环绕十五度","林如蔚准确说出：我会在这里等你归来。说到“归来”时手指收紧，衣袖褶皱加深，下眼睑出现湿润泪光但没有落泪；苏珏先看抓袖的手再看她","QNXY-CHR-P0-001/002；QNXY-CST-P0-003/004；QNXY-PRP-P0-005；QNXY-VOI-P0-010；QNXY-SCN-P0-007；QNXY-REF-064/068/069/071","林如蔚画内对白、衣袖收紧、呼吸、湖风、远水、树叶与四盏灯笼轻响","林如蔚仍抓住苏珏左侧衣袖，两人近距离相望"
"AI03-SH17","镜头组G07","以廊亭与雾中湖面空镜承接对白落点","2.0","QNXY-SCN-P0-007-V-MASTER湖面氛围","临水廊亭与湖面环境远景；50mm；从近处树叶后方向右短距离横移","无近景人物与画内台词。局部可见灯笼轻晃，近处树叶随湖风轻摆，湖面低薄水雾横移，远舟与5只白鹭保持参考关系","QNXY-SCN-P0-007；QNXY-LGT-P0-008；QNXY-PRP-P2-009；QNXY-REF-066","低弱湖风、远水、树叶、灯笼轻响和极远白鹭声","树叶经过画面边缘，湖面保持安静"
"AI03-SH18","镜头组G08","苏珏把抓袖的林如蔚抱入怀中","4.0","QNXY-SCN-P0-007-V-LEFT","双人侧向中景；50mm；廊柱外侧向右短距离横移","林如蔚右手抓住苏珏左袖；苏珏左臂环住她上背、右臂从腰侧收拢。林如蔚松开衣袖并双臂搂紧苏珏腰部。文书保持在林如蔚腰后外侧","QNXY-CHR-P0-001/002；QNXY-CST-P0-003/004；QNXY-PRP-P0-005；QNXY-SCN-P0-007；QNXY-REF-064/068/069/071","呼吸、衣料收紧、纸张轻响、湖风、树叶与灯笼轻响","两人形成稳定侧向拥抱，文书没有夹在身体之间"
"AI03-SH19","镜头组G08","苏珏贴耳承诺归来，林如蔚搂紧并落下一滴泪","6.0","QNXY-SCN-P0-007-V-FRONT人物面部近景","林如蔚右眼与右侧脸面部近景；85mm；右前侧缓慢横移。苏珏肩部、下颌和靠近她右耳的侧脸位于画面左侧","前两秒苏珏准确说出：我一定回来。随后林如蔚搂紧苏珏，右眼中一颗泪滴溢出并沿右侧脸颊缓慢滑落，只留下单独一条湿痕","QNXY-CHR-P0-001/002；QNXY-CST-P0-003/004；QNXY-VOI-P0-009；QNXY-SCN-P0-007；QNXY-REF-068/069/070","苏珏贴耳画内对白、呼吸、手指抓紧衣料、湖风、远水、树叶与四盏灯笼轻响","一颗泪滴停在林如蔚右侧脸颊下方，两人仍紧密拥抱"
"AI03-SH20","镜头组G08","摄影机从拥抱二人拉远，以廊亭与雾中湖山结束告别","5.0","QNXY-SCN-P0-007-V-FRONT","拥抱二人双人中景起幅至廊亭环境全景；35mm；沿廊亭中轴真实后移并轻微升高","两人始终拥抱；苏珏右手仍握攥皱文书，林如蔚双臂仍环住苏珏腰部。摄影机逐渐露出整座廊亭、栏杆、四盏灯笼、近处薄雾、湖面与远山","QNXY-CHR-P0-001/002；QNXY-CST-P0-003/004；QNXY-PRP-P0-005；QNXY-PRP-P2-009；QNXY-SCN-P0-007；QNXY-REF-064/068/069/070","两人呼吸、衣料、湖水、湖风、树叶与四盏灯笼轻响","廊亭、四盏灯笼、拥抱二人与雾中湖山同时完整可见，稳定结束"
